TTNBR,SERVICEACCTNBR,ServiceType,TROUBLECODEDESC,CONTACTDATETIME,Longitude,Latitude
498812,24450,Network-Res DSL,NET-No Internet Connection,1-May-17,-78.759154,38.796108
498813,275312,Network,NET-No Internet Connection,1-May-17,-79.04034,37.331045
498816,344836,Network,NET-No Internet Connection,1-May-17,-80.579681,37.145467
498817,687037,Network-Prepaid Svcs,NET-No Internet Connection,1-May-17,-80.471534,39.03579
498819,483931,Network,NET-Intermittent Connection,1-May-17,-79.260887,37.326355
499119,686060,Cable,CAB-DTA,2-May-17,-80.545915,37.135567
499122,112745,Network-Res DSL,NET-No Internet Connection,2-May-17,-78.465355,38.934937
499132,729047,Prospect Account,Serviceability Check - RES,2-May-17,-78.551492,38.927017
499133,697841,Network,NET-Intermittent Connection,2-May-17,-79.060242,37.292926
499134,590491,Cable,CAB-Loss of All Channels,2-May-17,-78.10765,36.954062
499136,727068,Cable,Drop - Aerial,2-May-17,-81.15441,37.950086
499432,663637,VOIP-Res-ShenTel Cable,TEL-Cannot Make Outbound Calls,4-May-17,-79.887954,36.99704
499433,230802,Cable,CAB-Loss of All Channels,4-May-17,-81.652302,37.564348
499435,284625,Cable,CAB-Loss of Some Channels,4-May-17,-80.575952,37.149573
499438,269750,Cable,CAB-Equipment,4-May-17,-81.948533,37.017433
499439,136260,Cable,Drop - Aerial,4-May-17,-79.960508,38.972256
499440,368889,Network-Res DSL,NET-No Internet Connection,4-May-17,-78.516614,38.949903
499442,315899,Cable,CAB-Loss of All Channels,4-May-17,-78.407423,37.28576
499444,456821,1-Res Cable Modem,NET-Intermittent Connection,4-May-17,-78.655597,38.900195
499445,729330,Prospect Account,Serviceability Check - RES,4-May-17,-81.440696,37.345844
499446,142353,Cable,CAB-Loss of All Channels,4-May-17,-80.088492,38.229139
499447,655399,Network,NET-Intermittent Connection,4-May-17,-81.09091,38.136353
